Train_Indices,Validation_Indices,Test_Indices
4806,13116.0,14157.0
4807,13118.0,14158.0
4809,13124.0,14165.0
4810,13134.0,14166.0
4813,13137.0,14168.0
4814,13141.0,14172.0
4815,13147.0,14179.0
4816,13152.0,14180.0
4817,13153.0,14183.0
4818,13156.0,14187.0
4821,13166.0,14191.0
4822,13186.0,14194.0
4823,13189.0,14197.0
4824,13194.0,14199.0
4826,13199.0,14210.0
4827,13210.0,14211.0
4829,13215.0,14220.0
4830,13221.0,14223.0
4833,13228.0,14255.0
4834,13237.0,14261.0
4835,13246.0,14270.0
4836,13255.0,14275.0
4837,13258.0,14278.0
4838,13259.0,14281.0
4839,13263.0,14286.0
4840,13265.0,14288.0
4841,13272.0,14300.0
4842,13275.0,14303.0
4844,13279.0,14307.0
4846,13282.0,14311.0
4847,13293.0,14321.0
4849,13297.0,14328.0
4850,13304.0,14337.0
4851,13306.0,14343.0
4853,13308.0,14344.0
4854,13317.0,14347.0
4855,13332.0,14348.0
4860,13347.0,14373.0
4863,13355.0,14375.0
4865,13359.0,14377.0
4866,13362.0,14379.0
4868,13367.0,14388.0
4869,13375.0,14399.0
4872,13378.0,14420.0
4873,13379.0,14427.0
4875,13387.0,14432.0
4876,13391.0,14439.0
4879,13399.0,14448.0
4882,13401.0,14450.0
4887,13406.0,14467.0
4890,13409.0,14472.0
4895,13418.0,14475.0
4897,13424.0,14482.0
4898,13428.0,14483.0
4899,13432.0,14484.0
4900,13441.0,14486.0
4901,13456.0,14508.0
4903,13457.0,14512.0
4904,13459.0,14519.0
4907,13463.0,14526.0
4908,13465.0,14528.0
4910,13468.0,14533.0
4911,13469.0,14542.0
4914,13471.0,14543.0
4915,13475.0,14547.0
4916,13480.0,14548.0
4917,13486.0,14554.0
4918,13489.0,14561.0
4921,13490.0,14570.0
4922,13492.0,14589.0
4923,13493.0,14590.0
4924,13510.0,14592.0
4925,13520.0,14597.0
4928,13529.0,14612.0
4930,13530.0,14620.0
4931,13543.0,14623.0
4932,13547.0,14631.0
4933,13575.0,14635.0
4936,13578.0,14637.0
4937,13591.0,14641.0
4939,13592.0,14644.0
4941,13596.0,14666.0
4943,13600.0,14667.0
4945,13602.0,14670.0
4949,13603.0,14674.0
4950,13604.0,14677.0
4957,13606.0,14679.0
4958,13613.0,14682.0
4960,13614.0,14698.0
4961,13615.0,14700.0
4964,13620.0,14715.0
4968,13621.0,14718.0
4969,13622.0,14734.0
4971,13623.0,14740.0
4972,13625.0,14742.0
4973,13628.0,14743.0
4974,13642.0,14744.0
4976,13645.0,14753.0
4977,13664.0,14762.0
4980,13665.0,14764.0
4981,13668.0,14765.0
4984,13670.0,14773.0
4986,13676.0,14774.0
4989,13679.0,14775.0
4991,13680.0,14776.0
4993,13685.0,14777.0
4995,13686.0,14784.0
4996,13689.0,14798.0
4998,13692.0,14802.0
5000,13697.0,14807.0
5002,13698.0,14809.0
5003,13708.0,14814.0
5004,13711.0,14822.0
5006,13716.0,14828.0
5007,13724.0,14837.0
5008,13730.0,14844.0
5010,13731.0,14847.0
5011,13740.0,14848.0
5013,13743.0,14850.0
5014,13750.0,14854.0
5015,13752.0,14856.0
5016,13763.0,14857.0
5017,13764.0,14871.0
5018,13768.0,14872.0
5020,13774.0,14873.0
5022,13775.0,14877.0
5023,13782.0,14883.0
5026,13784.0,14884.0
5030,13797.0,14887.0
5031,13799.0,14889.0
5033,13801.0,14893.0
5034,13816.0,14894.0
5035,13829.0,14906.0
5038,13830.0,14907.0
5039,13831.0,14909.0
5040,13834.0,14910.0
5041,13839.0,14915.0
5043,13852.0,14918.0
5046,13854.0,14921.0
5051,13859.0,14923.0
5052,13861.0,14926.0
5053,13862.0,14936.0
5054,13865.0,14946.0
5055,13866.0,14947.0
5058,13867.0,14956.0
5059,13869.0,14961.0
5060,13880.0,14963.0
5062,13881.0,14964.0
5063,13882.0,14967.0
5064,13886.0,14970.0
5067,13891.0,14971.0
5069,13893.0,14976.0
5070,13895.0,14981.0
5073,13898.0,14987.0
5076,13903.0,14989.0
5077,13917.0,14990.0
5078,13918.0,14992.0
5079,13919.0,14996.0
5081,13925.0,14999.0
5083,13930.0,15001.0
5084,13931.0,15003.0
5085,13936.0,15011.0
5086,13937.0,15014.0
5087,13939.0,15015.0
5089,13955.0,15016.0
5091,13956.0,15023.0
5092,13969.0,15025.0
5097,13980.0,15028.0
5098,13981.0,15029.0
5099,13998.0,15043.0
5100,14000.0,15050.0
5101,14007.0,15057.0
5102,14012.0,15059.0
5104,14020.0,15064.0
5105,14025.0,15072.0
5106,14026.0,15079.0
5107,14031.0,15097.0
5109,14042.0,15098.0
5110,14056.0,15105.0
5112,14060.0,15115.0
5113,14061.0,15117.0
5114,14062.0,15122.0
5115,14066.0,15124.0
5116,14073.0,15126.0
5117,14074.0,15129.0
5118,14078.0,15130.0
5120,14081.0,15131.0
5121,14083.0,15134.0
5122,14095.0,15145.0
5124,14101.0,15147.0
5126,14103.0,15153.0
5129,14111.0,15163.0
5132,14112.0,15170.0
5135,14119.0,15189.0
5137,14133.0,15192.0
5138,14146.0,15193.0
5140,14147.0,15196.0
5142,14150.0,15204.0
5144,14152.0,15206.0
5145,14160.0,15209.0
5147,14162.0,15211.0
5149,14173.0,15214.0
5150,14185.0,15233.0
5151,14188.0,15235.0
5152,14200.0,15237.0
5154,14202.0,15238.0
5156,14206.0,15242.0
5158,14208.0,15243.0
5159,14218.0,15246.0
5160,14222.0,15256.0
5161,14237.0,15261.0
5162,14238.0,15269.0
5163,14250.0,15270.0
5164,14252.0,15272.0
5165,14254.0,15276.0
5166,14259.0,15277.0
5168,14260.0,15280.0
5170,14269.0,15291.0
5172,14272.0,15292.0
5173,14276.0,15299.0
5176,14280.0,15301.0
5180,14282.0,15303.0
5181,14284.0,15304.0
5182,14298.0,15317.0
5183,14301.0,15320.0
5184,14304.0,15326.0
5185,14306.0,15328.0
5189,14312.0,15329.0
5191,14315.0,15341.0
5192,14324.0,15345.0
5194,14329.0,15359.0
5196,14330.0,15366.0
5197,14332.0,15368.0
5198,14333.0,15370.0
5201,14342.0,15374.0
5202,14349.0,15394.0
5204,14350.0,15413.0
5205,14352.0,15414.0
5206,14365.0,15423.0
5207,14372.0,15427.0
5210,14374.0,15428.0
5212,14381.0,15430.0
5213,14382.0,15436.0
5215,14389.0,15437.0
5217,14400.0,15441.0
5219,14404.0,15452.0
5220,14405.0,15453.0
5223,14409.0,15456.0
5226,14411.0,15464.0
5227,14416.0,15470.0
5228,14434.0,15492.0
5229,14436.0,15494.0
5230,14441.0,15497.0
5231,14445.0,15502.0
5235,14447.0,15506.0
5236,14454.0,15510.0
5239,14456.0,15511.0
5240,14460.0,15516.0
5242,14461.0,15517.0
5244,14465.0,15531.0
5245,14469.0,15532.0
5247,14478.0,15535.0
5250,14488.0,15549.0
5251,14491.0,15552.0
5253,14496.0,15563.0
5256,14502.0,15564.0
5257,14507.0,15567.0
5258,14513.0,15572.0
5259,14514.0,15573.0
5260,14515.0,15576.0
5261,14516.0,15580.0
5262,14517.0,15585.0
5264,14522.0,15604.0
5265,14535.0,15606.0
5266,14536.0,15615.0
5267,14537.0,15621.0
5268,14538.0,15622.0
5272,14539.0,15623.0
5273,14546.0,15624.0
5276,14552.0,15626.0
5277,14564.0,15631.0
5280,14573.0,15632.0
5281,14578.0,15635.0
5282,14584.0,15637.0
5286,14587.0,15652.0
5287,14604.0,15658.0
5288,14607.0,15660.0
5289,14610.0,15667.0
5290,14611.0,15673.0
5291,14617.0,15676.0
5294,14624.0,15680.0
5295,14626.0,15682.0
5298,14632.0,15684.0
5299,14633.0,15685.0
5300,14634.0,15691.0
5301,14640.0,15692.0
5303,14642.0,15701.0
5305,14645.0,15702.0
5306,14657.0,15703.0
5307,14659.0,15704.0
5310,14668.0,15731.0
5311,14671.0,15733.0
5312,14672.0,15734.0
5313,14680.0,15741.0
5314,14685.0,15743.0
5317,14689.0,15745.0
5318,14690.0,15755.0
5319,14703.0,15760.0
5320,14704.0,15761.0
5321,14713.0,15763.0
5322,14720.0,15767.0
5323,14726.0,15789.0
5328,14728.0,15794.0
5329,14729.0,15795.0
5330,14731.0,15796.0
5331,14736.0,15803.0
5332,14741.0,15815.0
5334,14746.0,15818.0
5335,14749.0,15825.0
5336,14750.0,15827.0
5337,14754.0,15829.0
5341,14759.0,15831.0
5344,14761.0,15833.0
5346,14766.0,15834.0
5350,14768.0,15835.0
5354,14782.0,15842.0
5356,14783.0,15846.0
5357,14788.0,15851.0
5358,14789.0,15854.0
5361,14796.0,15856.0
5364,14801.0,15857.0
5365,14806.0,15862.0
5367,14813.0,15866.0
5369,14815.0,15867.0
5373,14817.0,15869.0
5374,14818.0,15871.0
5378,14820.0,15875.0
5379,14823.0,15880.0
5380,14824.0,15881.0
5381,14825.0,15891.0
5384,14826.0,15898.0
5385,14842.0,15900.0
5387,14852.0,15908.0
5389,14860.0,15915.0
5392,14864.0,15919.0
5393,14878.0,15920.0
5394,14879.0,15929.0
5397,14881.0,15931.0
5398,14897.0,15937.0
5400,14902.0,15944.0
5401,14905.0,15950.0
5402,14914.0,15957.0
5403,14916.0,15968.0
5404,14924.0,15969.0
5405,14927.0,15986.0
5406,14928.0,15989.0
5409,14930.0,15991.0
5410,14931.0,15995.0
5411,14949.0,15998.0
5413,14952.0,16002.0
5414,14954.0,16006.0
5415,14958.0,16012.0
5417,14966.0,16017.0
5419,14972.0,16020.0
5420,14973.0,16021.0
5421,14974.0,16028.0
5422,14975.0,16030.0
5423,14979.0,16033.0
5424,14994.0,16035.0
5427,15005.0,16037.0
5428,15006.0,16045.0
5429,15007.0,16048.0
5430,15008.0,16056.0
5435,15009.0,16063.0
5437,15012.0,16066.0
5438,15017.0,16069.0
5439,15019.0,16072.0
5443,15027.0,16077.0
5444,15034.0,16090.0
5445,15040.0,16092.0
5449,15042.0,16093.0
5452,15045.0,16097.0
5453,15060.0,16100.0
5454,15063.0,16104.0
5456,15067.0,16111.0
5457,15068.0,16115.0
5459,15078.0,16119.0
5460,15090.0,16122.0
5461,15093.0,16127.0
5463,15109.0,16128.0
5466,15110.0,16139.0
5468,15113.0,16144.0
5469,15118.0,16145.0
5473,15135.0,16146.0
5474,15141.0,16150.0
5475,15144.0,16156.0
5476,15146.0,16162.0
5477,15155.0,16163.0
5478,15168.0,16166.0
5479,15180.0,16169.0
5480,15182.0,16195.0
5483,15184.0,16196.0
5484,15188.0,16198.0
5485,15190.0,16201.0
5486,15203.0,16210.0
5487,15207.0,16214.0
5488,15212.0,16221.0
5492,15213.0,16236.0
5494,15217.0,16237.0
5495,15219.0,16252.0
5501,15226.0,16258.0
5505,15227.0,16261.0
5506,15231.0,16263.0
5508,15236.0,16267.0
5510,15240.0,16272.0
5512,15245.0,16274.0
5517,15247.0,16279.0
5518,15248.0,16298.0
5519,15249.0,16300.0
5520,15252.0,16301.0
5521,15255.0,16305.0
5522,15264.0,16309.0
5524,15266.0,16318.0
5525,15267.0,16319.0
5526,15285.0,16320.0
5528,15286.0,16325.0
5530,15295.0,16329.0
5532,15298.0,16350.0
5533,15302.0,16353.0
5535,15306.0,16355.0
5537,15324.0,16358.0
5539,15340.0,16367.0
5540,15350.0,16382.0
5541,15351.0,16385.0
5542,15353.0,16409.0
5543,15354.0,16415.0
5544,15356.0,16418.0
5545,15365.0,16424.0
5546,15369.0,16438.0
5549,15371.0,16439.0
5550,15372.0,16441.0
5551,15373.0,16451.0
5552,15375.0,16465.0
5553,15379.0,16466.0
5557,15381.0,16479.0
5558,15384.0,16483.0
5559,15385.0,16490.0
5561,15389.0,16492.0
5563,15391.0,16493.0
5564,15400.0,16496.0
5565,15403.0,16497.0
5569,15404.0,16499.0
5570,15410.0,16503.0
5574,15418.0,16507.0
5575,15419.0,16513.0
5576,15424.0,16518.0
5578,15426.0,16519.0
5580,15429.0,16524.0
5581,15431.0,16527.0
5582,15446.0,16529.0
5583,15448.0,16535.0
5585,15461.0,16544.0
5586,15462.0,16548.0
5588,15468.0,16552.0
5590,15473.0,16561.0
5591,15490.0,16565.0
5592,15501.0,16577.0
5593,15505.0,16578.0
5594,15507.0,16579.0
5595,15512.0,16582.0
5597,15514.0,16594.0
5598,15519.0,16598.0
5599,15521.0,16599.0
5603,15524.0,16600.0
5604,15533.0,16601.0
5605,15537.0,16616.0
5607,15539.0,16618.0
5608,15541.0,16629.0
5609,15543.0,16631.0
5610,15551.0,16632.0
5611,15560.0,16635.0
5612,15569.0,16642.0
5613,15586.0,16644.0
5614,15587.0,16646.0
5615,15589.0,16647.0
5618,15594.0,16648.0
5619,15597.0,16658.0
5620,15599.0,16661.0
5621,15600.0,16665.0
5622,15601.0,16684.0
5623,15605.0,16687.0
5625,15608.0,16698.0
5627,15611.0,16707.0
5628,15639.0,16722.0
5629,15647.0,16725.0
5630,15649.0,16736.0
5631,15650.0,16739.0
5632,15651.0,16741.0
5633,15661.0,16745.0
5634,15664.0,16751.0
5636,15670.0,16752.0
5637,15671.0,16754.0
5638,15675.0,16761.0
5639,15681.0,16770.0
5644,15694.0,16780.0
5648,15695.0,16781.0
5649,15696.0,16787.0
5650,15697.0,16791.0
5651,15706.0,16803.0
5653,15707.0,16806.0
5655,15710.0,16811.0
5656,15712.0,16817.0
5657,15714.0,16825.0
5658,15724.0,16842.0
5662,15732.0,16843.0
5663,15740.0,16844.0
5665,15747.0,16855.0
5667,15748.0,16858.0
5668,15756.0,16862.0
5669,15757.0,16870.0
5670,15762.0,16871.0
5671,15769.0,16876.0
5675,15778.0,16881.0
5676,15781.0,16883.0
5677,15802.0,16890.0
5678,15804.0,16894.0
5679,15811.0,16900.0
5681,15817.0,16903.0
5682,15819.0,16917.0
5683,15820.0,16930.0
5684,15822.0,16932.0
5687,15823.0,16935.0
5688,15828.0,16938.0
5690,15844.0,16941.0
5691,15859.0,16942.0
5692,15860.0,16943.0
5693,15863.0,16947.0
5694,15864.0,16949.0
5695,15872.0,16951.0
5696,15893.0,16963.0
5697,15894.0,16964.0
5698,15896.0,16974.0
5701,15897.0,16989.0
5702,15901.0,16993.0
5703,15903.0,17002.0
5705,15905.0,17003.0
5708,15910.0,17006.0
5711,15911.0,17012.0
5713,15914.0,17029.0
5715,15918.0,17030.0
5717,15922.0,17034.0
5720,15925.0,17035.0
5721,15934.0,17036.0
5723,15938.0,17039.0
5727,15941.0,17041.0
5728,15943.0,17044.0
5729,15952.0,17052.0
5732,15953.0,17053.0
5733,15954.0,17054.0
5735,15958.0,17058.0
5736,15965.0,17078.0
5737,15966.0,17079.0
5738,15972.0,17080.0
5740,15974.0,17084.0
5741,15978.0,17087.0
5742,15985.0,17093.0
5743,16009.0,17100.0
5744,16010.0,17104.0
5746,16011.0,17109.0
5747,16016.0,17113.0
5748,16018.0,17116.0
5750,16022.0,17126.0
5752,16025.0,17131.0
5754,16036.0,17137.0
5755,16038.0,17138.0
5756,16040.0,17139.0
5759,16047.0,17140.0
5760,16051.0,17145.0
5761,16052.0,17152.0
5762,16057.0,17155.0
5766,16071.0,17156.0
5768,16075.0,17157.0
5769,16076.0,17164.0
5770,16079.0,17165.0
5772,16091.0,17167.0
5774,16098.0,17170.0
5775,16102.0,17171.0
5776,16109.0,17176.0
5777,16112.0,17180.0
5778,16114.0,17182.0
5780,16120.0,17183.0
5783,16123.0,17190.0
5787,16133.0,17191.0
5788,16134.0,17195.0
5789,16135.0,17197.0
5790,16142.0,17199.0
5792,16147.0,17201.0
5793,16152.0,17207.0
5794,16154.0,17211.0
5795,16173.0,17215.0
5796,16175.0,17221.0
5797,16178.0,17222.0
5799,16179.0,17223.0
5800,16181.0,17242.0
5802,16183.0,17250.0
5804,16184.0,17257.0
5805,16187.0,17260.0
5806,16194.0,17261.0
5809,16199.0,17267.0
5814,16200.0,17269.0
5816,16203.0,17270.0
5818,16211.0,17271.0
5821,16216.0,17272.0
5822,16219.0,17278.0
5825,16222.0,17289.0
5827,16229.0,17300.0
5828,16231.0,17301.0
5829,16232.0,17305.0
5831,16239.0,17307.0
5833,16249.0,17309.0
5834,16250.0,17312.0
5835,16251.0,17314.0
5836,16255.0,17319.0
5839,16257.0,17325.0
5840,16268.0,17327.0
5841,16270.0,17338.0
5842,16271.0,17340.0
5843,16275.0,17345.0
5844,16276.0,17346.0
5845,16280.0,17352.0
5847,16284.0,17353.0
5853,16286.0,17364.0
5855,16287.0,17365.0
5856,16288.0,17370.0
5857,16291.0,17388.0
5861,16295.0,17390.0
5862,16297.0,17392.0
5864,16304.0,17397.0
5865,16306.0,17412.0
5866,16315.0,17432.0
5867,16317.0,17443.0
5868,16321.0,17445.0
5869,16328.0,17447.0
5871,16338.0,17453.0
5872,16340.0,17456.0
5874,16341.0,17472.0
5876,16342.0,17476.0
5878,16360.0,17481.0
5879,16362.0,17483.0
5887,16368.0,17485.0
5889,16377.0,17486.0
5890,16380.0,17490.0
5894,16387.0,17491.0
5895,16391.0,17496.0
5896,16401.0,17500.0
5897,16408.0,17509.0
5898,16412.0,17510.0
5903,16414.0,17514.0
5906,16417.0,17516.0
5909,16419.0,17519.0
5911,16432.0,17521.0
5912,16442.0,17524.0
5914,16445.0,17529.0
5916,16447.0,17535.0
5917,16448.0,17537.0
5918,16449.0,17547.0
5919,16450.0,17551.0
5923,16452.0,17556.0
5926,16454.0,17557.0
5927,16455.0,17558.0
5930,16462.0,17563.0
5933,16469.0,17604.0
5934,16470.0,17610.0
5935,16472.0,17615.0
5936,16476.0,17617.0
5939,16482.0,17618.0
5940,16489.0,17620.0
5943,16495.0,17641.0
5946,16501.0,17643.0
5947,16504.0,17645.0
5950,16506.0,17649.0
5951,16516.0,17671.0
5954,16521.0,17672.0
5955,16525.0,17676.0
5956,16539.0,17680.0
5962,16542.0,17682.0
5964,16549.0,17685.0
5965,16558.0,17688.0
5966,16564.0,17697.0
5967,16566.0,17698.0
5969,16570.0,17714.0
5970,16576.0,17717.0
5972,16585.0,17732.0
5974,16589.0,17743.0
5975,16596.0,17747.0
5976,16602.0,17749.0
5978,16605.0,17754.0
5979,16607.0,17759.0
5980,16620.0,17762.0
5981,16621.0,17764.0
5984,16622.0,17765.0
5985,16639.0,17766.0
5986,16640.0,17767.0
5987,16641.0,17768.0
5988,16645.0,17773.0
5989,16650.0,17779.0
5990,16655.0,17783.0
5991,16659.0,17787.0
5992,16663.0,17788.0
5995,16673.0,17793.0
5997,16677.0,17800.0
5999,16693.0,17806.0
6003,16696.0,17807.0
6004,16700.0,17814.0
6007,16703.0,17818.0
6008,16708.0,17819.0
6009,16710.0,17827.0
6011,16717.0,17828.0
6013,16728.0,17831.0
6017,16733.0,17838.0
6018,16744.0,17848.0
6021,16748.0,17859.0
6025,16755.0,17870.0
6027,16759.0,17874.0
6028,16762.0,17878.0
6029,16765.0,17879.0
6030,16766.0,17881.0
6034,16772.0,17882.0
6035,16773.0,17889.0
6036,16777.0,17893.0
6037,16785.0,17896.0
6038,16786.0,17901.0
6041,16795.0,17903.0
6042,16802.0,17905.0
6043,16807.0,17906.0
6044,16808.0,17916.0
6045,16809.0,17918.0
6046,16812.0,17923.0
6052,16830.0,17925.0
6057,16846.0,17927.0
6058,16860.0,17932.0
6059,16864.0,17934.0
6061,16879.0,17936.0
6063,16882.0,17941.0
6064,16884.0,17956.0
6067,16886.0,17966.0
6069,16888.0,17977.0
6072,16891.0,17981.0
6073,16899.0,17982.0
6074,16905.0,17995.0
6078,16911.0,18000.0
6079,16914.0,18009.0
6081,16924.0,18010.0
6082,16925.0,18019.0
6083,16929.0,18027.0
6084,16933.0,18032.0
6085,16944.0,18033.0
6086,16950.0,18036.0
6087,16956.0,18044.0
6090,16958.0,18045.0
6091,16966.0,18047.0
6092,16967.0,18048.0
6095,16970.0,18049.0
6096,16975.0,18055.0
6097,16977.0,18056.0
6099,16980.0,18059.0
6102,16981.0,18073.0
6103,16984.0,18077.0
6105,16988.0,18079.0
6107,16995.0,18080.0
6110,16997.0,18081.0
6116,17000.0,18086.0
6120,17001.0,18090.0
6122,17009.0,18098.0
6124,17019.0,18103.0
6125,17026.0,18106.0
6126,17042.0,18112.0
6127,17048.0,18124.0
6131,17051.0,18125.0
6132,17055.0,18128.0
6133,17061.0,18129.0
6135,17072.0,18146.0
6136,17094.0,18154.0
6137,17107.0,18159.0
6138,17112.0,18161.0
6139,17115.0,18163.0
6141,17119.0,18165.0
6142,17120.0,18167.0
6143,17122.0,18170.0
6144,17129.0,18175.0
6145,17130.0,18178.0
6146,17135.0,18179.0
6148,17136.0,18186.0
6150,17159.0,18196.0
6151,17172.0,18198.0
6154,17177.0,18203.0
6155,17178.0,18205.0
6156,17181.0,18212.0
6159,17184.0,18220.0
6162,17189.0,18226.0
6163,17193.0,18228.0
6164,17194.0,18233.0
6167,17196.0,18236.0
6168,17202.0,18238.0
6170,17208.0,18243.0
6171,17212.0,18246.0
6172,17213.0,18262.0
6174,17214.0,18267.0
6176,17216.0,18280.0
6177,17218.0,18284.0
6178,17227.0,18286.0
6180,17229.0,18297.0
6183,17240.0,18298.0
6184,17245.0,18313.0
6185,17252.0,18315.0
6186,17254.0,18317.0
6187,17258.0,18318.0
6188,17259.0,18331.0
6190,17275.0,18335.0
6191,17276.0,18339.0
6192,17285.0,18347.0
6193,17286.0,18349.0
6194,17287.0,18359.0
6196,17291.0,18365.0
6198,17293.0,18370.0
6200,17297.0,18371.0
6202,17298.0,18376.0
6204,17299.0,18377.0
6205,17302.0,18383.0
6206,17310.0,18388.0
6207,17316.0,18397.0
6209,17317.0,18402.0
6210,17331.0,18405.0
6213,17332.0,18407.0
6214,17337.0,18415.0
6215,17347.0,18421.0
6216,17349.0,18423.0
6217,17356.0,18425.0
6220,17357.0,18428.0
6221,17358.0,18433.0
6223,17367.0,18436.0
6225,17371.0,18437.0
6226,17374.0,18438.0
6227,17379.0,18440.0
6228,17382.0,18442.0
6230,17385.0,18444.0
6232,17387.0,18448.0
6234,17394.0,18450.0
6237,17395.0,18451.0
6241,17404.0,18455.0
6242,17405.0,18457.0
6244,17409.0,18459.0
6245,17411.0,18460.0
6248,17415.0,18461.0
6249,17416.0,18465.0
6250,17417.0,18467.0
6251,17429.0,18472.0
6252,17431.0,18474.0
6253,17433.0,18475.0
6254,17435.0,18479.0
6255,17437.0,18480.0
6258,17440.0,18485.0
6263,17448.0,18487.0
6264,17452.0,18488.0
6265,17455.0,18498.0
6269,17460.0,18506.0
6270,17461.0,18507.0
6271,17464.0,18508.0
6272,17465.0,18522.0
6274,17466.0,18532.0
6277,17469.0,18541.0
6279,17473.0,18548.0
6280,17478.0,18549.0
6281,17493.0,18553.0
6282,17512.0,18563.0
6284,17515.0,18565.0
6291,17523.0,18568.0
6294,17531.0,18569.0
6295,17534.0,18573.0
6296,17546.0,18574.0
6297,17549.0,18578.0
6299,17561.0,18580.0
6300,17564.0,18586.0
6302,17567.0,18597.0
6309,17568.0,18598.0
6311,17577.0,18610.0
6313,17580.0,18612.0
6315,17590.0,18624.0
6316,17593.0,18627.0
6318,17597.0,18629.0
6320,17598.0,18632.0
6322,17599.0,18639.0
6330,17601.0,18641.0
6331,17602.0,18642.0
6334,17605.0,18649.0
6335,17607.0,18653.0
6337,17614.0,18662.0
6338,17619.0,18670.0
6339,17621.0,18671.0
6340,17623.0,18675.0
6341,17627.0,18676.0
6342,17629.0,18681.0
6344,17632.0,18684.0
6347,17636.0,18693.0
6349,17638.0,18697.0
6350,17640.0,18701.0
6354,17642.0,18703.0
6356,17644.0,18707.0
6359,17652.0,18708.0
6360,17659.0,18713.0
6361,17660.0,18720.0
6362,17666.0,18721.0
6363,17667.0,18723.0
6365,17668.0,18727.0
6369,17674.0,18735.0
6371,17679.0,18746.0
6373,17684.0,18755.0
6375,17687.0,18757.0
6376,17689.0,18769.0
6379,17690.0,18773.0
6381,17695.0,18786.0
6382,17699.0,18789.0
6383,17702.0,18791.0
6384,17712.0,18794.0
6387,17716.0,18796.0
6388,17719.0,18798.0
6390,17722.0,18801.0
6392,17726.0,18805.0
6394,17733.0,18806.0
6395,17738.0,18809.0
6398,17753.0,18812.0
6400,17755.0,18828.0
6404,17770.0,18833.0
6405,17775.0,18841.0
6407,17776.0,18844.0
6409,17777.0,18845.0
6412,17792.0,18848.0
6414,17797.0,18856.0
6416,17799.0,18860.0
6417,17803.0,18867.0
6418,17808.0,18868.0
6419,17809.0,18869.0
6420,17812.0,18872.0
6421,17817.0,18888.0
6422,17821.0,18894.0
6423,17823.0,18901.0
6425,17830.0,18916.0
6426,17837.0,18920.0
6428,17839.0,18923.0
6429,17842.0,18932.0
6431,17849.0,18956.0
6433,17850.0,18959.0
6434,17852.0,18961.0
6435,17854.0,18969.0
6439,17856.0,18972.0
6441,17875.0,18976.0
6442,17880.0,18978.0
6443,17891.0,18979.0
6445,17899.0,18982.0
6448,17904.0,18985.0
6449,17913.0,18989.0
6450,17920.0,18996.0
6452,17931.0,18997.0
6454,17942.0,18999.0
6455,17943.0,19002.0
6456,17951.0,19005.0
6457,17955.0,19006.0
6463,17972.0,19008.0
6464,17979.0,19016.0
6465,17986.0,19017.0
6466,17993.0,19033.0
6467,17997.0,19034.0
6475,18002.0,19036.0
6480,18004.0,19037.0
6481,18005.0,19038.0
6483,18006.0,19042.0
6484,18025.0,19049.0
6485,18030.0,19055.0
6486,18034.0,19056.0
6487,18042.0,19062.0
6488,18050.0,19070.0
6490,18054.0,19075.0
6491,18058.0,19077.0
6493,18064.0,19083.0
6494,18065.0,19084.0
6495,18068.0,19089.0
6496,18083.0,19103.0
6497,18087.0,19108.0
6498,18091.0,19113.0
6501,18093.0,19122.0
6502,18094.0,19131.0
6503,18097.0,19132.0
6504,18099.0,19138.0
6506,18104.0,19142.0
6508,18108.0,19144.0
6509,18113.0,19154.0
6510,18118.0,19156.0
6511,18133.0,19157.0
6512,18143.0,19158.0
6513,18147.0,19160.0
6514,18150.0,19161.0
6515,18151.0,19163.0
6516,18152.0,19164.0
6520,18158.0,19174.0
6521,18160.0,19194.0
6522,18164.0,19203.0
6524,18169.0,19204.0
6525,18171.0,19211.0
6526,18187.0,19213.0
6529,18189.0,19216.0
6532,18190.0,19226.0
6533,18193.0,19230.0
6534,18194.0,19231.0
6536,18201.0,19234.0
6537,18202.0,19237.0
6539,18204.0,19238.0
6540,18207.0,19248.0
6541,18213.0,19258.0
6543,18219.0,19264.0
6544,18229.0,19275.0
6545,18237.0,19276.0
6546,18242.0,19280.0
6549,18245.0,19281.0
6550,18250.0,19290.0
6551,18251.0,19292.0
6552,18256.0,19310.0
6554,18259.0,19311.0
6555,18266.0,19316.0
6556,18268.0,19320.0
6558,18272.0,19328.0
6559,18274.0,19334.0
6561,18276.0,19341.0
6562,18278.0,19342.0
6568,18281.0,19345.0
6569,18285.0,19350.0
6571,18287.0,19372.0
6572,18291.0,19376.0
6576,18295.0,19381.0
6578,18296.0,19391.0
6579,18301.0,19393.0
6580,18302.0,19398.0
6581,18307.0,19402.0
6584,18319.0,19417.0
6585,18330.0,19421.0
6586,18332.0,19426.0
6587,18333.0,19427.0
6588,18340.0,19436.0
6589,18342.0,19438.0
6590,18345.0,19439.0
6591,18356.0,19444.0
6594,18360.0,19446.0
6595,18363.0,19450.0
6596,18368.0,19456.0
6600,18373.0,19458.0
6603,18374.0,19459.0
6604,18378.0,19469.0
6607,18382.0,19477.0
6609,18386.0,19493.0
6610,18395.0,19497.0
6612,18396.0,19498.0
6613,18408.0,19501.0
6617,18411.0,19519.0
6621,18413.0,19523.0
6624,18417.0,19526.0
6628,18418.0,19534.0
6631,18424.0,19546.0
6633,18427.0,19567.0
6635,18434.0,19568.0
6637,18439.0,19580.0
6640,18443.0,19588.0
6642,18445.0,19595.0
6645,18446.0,19597.0
6646,18452.0,19598.0
6647,18453.0,19601.0
6648,18462.0,19602.0
